"Date","Value"
"07/02/1959",0.293
"07/06/1959",0.291
"07/07/1959",0.282
"07/08/1959",0.2846
"07/09/1959",0.276
"07/10/1959",0.2757
"07/13/1959",0.278
"07/14/1959",0.2855
"07/15/1959",0.2873
"07/16/1959",0.2915
"07/17/1959",0.2916
"07/20/1959",0.2893
"07/21/1959",0.2916
"07/22/1959",0.2943
"07/23/1959",0.2939
"07/24/1959",0.2933
"07/27/1959",0.2932
"07/28/1959",0.2935
"07/29/1959",0.285
"07/30/1959",0.2874
"07/31/1959",0.2915
"08/03/1959",0.2932
"08/04/1959",0.29
"08/05/1959",0.2905
"08/06/1959",0.2945
"08/07/1959",0.2993
"08/10/1959",0.302
"08/11/1959",0.3028
"08/12/1959",0.3049
"08/13/1959",0.308
"08/14/1959",0.3065
"08/17/1959",0.294
"08/18/1959",0.301
"08/19/1959",0.302
"08/20/1959",0.301
"08/21/1959",0.3001
"08/24/1959",0.2998
"08/25/1959",0.298
"08/26/1959",0.3018
"08/27/1959",0.304
"08/28/1959",0.3069
"08/31/1959",0.3123
"09/01/1959",0.307
"09/02/1959",0.3078
"09/03/1959",0.3083
"09/04/1959",0.3101
"09/08/1959",0.3113
"09/09/1959",0.3089
"09/10/1959",0.3075
"09/11/1959",0.3076
"09/14/1959",0.3023
"09/15/1959",0.2983
"09/16/1959",0.2996
"09/17/1959",0.2979
"09/18/1959",0.2943
"09/21/1959",0.291
"09/22/1959",0.2917
"09/23/1959",0.297
"09/24/1959",0.3018
"09/25/1959",0.3026
"09/28/1959",0.3003
"09/29/1959",0.3025
"09/30/1959",0.3038
"10/01/1959",0.305
"10/02/1959",0.3092
"10/05/1959",0.3108
"10/06/1959",0.3117
"10/07/1959",0.3076
"10/08/1959",0.309
"10/09/1959",0.3099
"10/13/1959",0.308
"10/14/1959",0.312
"10/15/1959",0.3112
"10/16/1959",0.3115
"10/19/1959",0.316
"10/20/1959",0.322
"10/21/1959",0.3246
"10/22/1959",0.3288
"10/23/1959",0.3265
"10/26/1959",0.3272
"10/27/1959",0.331
"10/28/1959",0.3315
"10/29/1959",0.332
"10/30/1959",0.33
"11/02/1959",0.3335
"11/04/1959",0.3418
"11/05/1959",0.3425
"11/06/1959",0.3474
"11/09/1959",0.3487
"11/10/1959",0.353
"11/11/1959",0.3472
"11/12/1959",0.3422
"11/13/1959",0.3365
"11/16/1959",0.3285
"11/17/1959",0.3197
"11/18/1959",0.3215
"11/19/1959",0.3259
"11/20/1959",0.3237
"11/23/1959",0.32
"11/24/1959",0.3222
"11/25/1959",0.317
"11/27/1959",0.3121
"11/30/1959",0.3095
"12/01/1959",0.3175
"12/02/1959",0.3219
"12/03/1959",0.319
"12/04/1959",0.3192
"12/07/1959",0.3216
"12/08/1959",0.3264
"12/09/1959",0.3265
"12/10/1959",0.3286
"12/11/1959",0.3248
"12/14/1959",0.3235
"12/15/1959",0.3284
"12/16/1959",0.3233
"12/17/1959",0.3215
"12/18/1959",0.3269
"12/21/1959",0.3297
"12/22/1959",0.3296
"12/23/1959",0.3312
"12/24/1959",0.3338
"12/28/1959",0.3364
"12/29/1959",0.3278
"12/30/1959",0.3231
"12/31/1959",0.3199
"01/04/1960",0.3187
"01/05/1960",0.318
"01/06/1960",0.3195
"01/07/1960",0.315
"01/08/1960",0.3171
"01/11/1960",0.3195
"01/12/1960",0.3173
"01/13/1960",0.3176
"01/14/1960",0.3188
"01/15/1960",0.321
"01/18/1960",0.3213
"01/19/1960",0.3197
"01/20/1960",0.3195
"01/21/1960",0.3197
"01/22/1960",0.3225
"01/25/1960",0.3267
"01/26/1960",0.3283
"01/27/1960",0.3265
"01/28/1960",0.324
"01/29/1960",0.3201
"02/01/1960",0.3166
"02/02/1960",0.3186
"02/03/1960",0.3181
"02/04/1960",0.3236
"02/05/1960",0.3222
"02/08/1960",0.3233
"02/09/1960",0.3265
"02/10/1960",0.3255
"02/11/1960",0.3274
"02/12/1960",0.3286
"02/15/1960",0.3255
"02/16/1960",0.324
"02/17/1960",0.326
"02/18/1960",0.328
"02/19/1960",0.3265
"02/23/1960",0.3202
"02/24/1960",0.3173
"02/25/1960",0.3157
"02/26/1960",0.31
"02/29/1960",0.302
"03/01/1960",0.2955
"03/02/1960",0.2964
"03/03/1960",0.296
"03/04/1960",0.2925
"03/07/1960",0.2911
"03/08/1960",0.2919
"03/09/1960",0.2933
"03/10/1960",0.2907
"03/11/1960",0.2855
"03/14/1960",0.2877
"03/15/1960",0.2875
"03/16/1960",0.2862
"03/17/1960",0.2847
"03/18/1960",0.2894
"03/21/1960",0.2902
